,Home,Home_Score,Away,Away_Score,Datetime,Stadium,Region,Temperature,Total_Score,Expected_Total_Score,Actually-Expected
75,롯데,7,한화,0,2022-04-20 18:30:00,사직,부산,17.9,7,8.118055555555555,-1.1180555555555554
76,NC,3,삼성,0,2022-04-20 18:30:00,창원,창원,17.3,3,9.090277777777779,-6.090277777777779
77,KIA,3,두산,4,2022-04-20 18:30:00,광주,광주,17.0,7,9.430555555555555,-2.4305555555555554
78,LG,2,KT,6,2022-04-21 18:30:00,잠실,서울,17.0,8,9.347222222222221,-1.3472222222222214
79,SSG,4,키움,2,2022-04-21 18:30:00,문학,인천,14.0,6,9.3125,-3.3125
80,롯데,6,한화,7,2022-04-21 18:30:00,사직,부산,12.6,13,8.118055555555555,4.881944444444445
81,NC,3,삼성,10,2022-04-21 18:30:00,창원,창원,11.4,13,9.090277777777779,3.9097222222222214
82,KIA,1,두산,2,2022-04-21 18:30:00,광주,광주,16.6,3,9.430555555555555,-6.430555555555555
83,두산,1,LG,5,2022-04-22 18:30:00,잠실,서울,14.2,6,9.395833333333332,-3.395833333333332
84,삼성,2,롯데,8,2022-04-22 18:30:00,대구,대구,22.1,10,8.805555555555557,1.1944444444444429
85,KT,4,NC,3,2022-04-22 18:30:00,수원,수원,13.9,7,8.868055555555555,-1.8680555555555554
86,키움,4,KIA,5,2022-04-22 18:30:00,고척,서울,14.2,9,9.3125,-0.3125
87,한화,2,SSG,0,2022-04-22 18:30:00,대전,대전,16.0,2,8.916666666666666,-6.916666666666666
88,키움,3,KIA,1,2022-04-23 14:00:00,고척,서울,24.7,4,9.3125,-5.3125
89,두산,4,LG,2,2022-04-23 17:00:00,잠실,서울,24.3,6,9.395833333333332,-3.395833333333332
90,삼성,2,롯데,4,2022-04-23 17:00:00,대구,대구,20.3,6,8.805555555555557,-2.805555555555557
91,KT,4,NC,3,2022-04-23 17:00:00,수원,수원,22.1,7,8.868055555555555,-1.8680555555555554
92,한화,9,SSG,2,2022-04-23 17:00:00,대전,대전,24.1,11,8.916666666666666,2.083333333333334
93,두산,0,LG,5,2022-04-24 14:00:00,잠실,서울,24.1,5,9.395833333333332,-4.395833333333332
94,삼성,4,롯데,7,2022-04-24 14:00:00,대구,대구,28.8,11,8.805555555555557,2.194444444444443
95,KT,1,NC,2,2022-04-24 14:00:00,수원,수원,24.0,3,8.868055555555555,-5.868055555555555
96,키움,2,KIA,14,2022-04-24 14:00:00,고척,서울,24.1,16,9.3125,6.6875
97,한화,1,SSG,3,2022-04-24 14:00:00,대전,대전,26.7,4,8.916666666666666,-4.916666666666666
98,두산,8,NC,4,2022-04-26 18:30:00,잠실,서울,22.7,12,8.916666666666666,3.083333333333334
99,롯데,1,SSG,8,2022-04-26 18:30:00,사직,부산,17.0,9,9.20138888888889,-0.20138888888888928
100,삼성,7,LG,4,2022-04-26 18:30:00,대구,대구,19.7,11,9.569444444444445,1.4305555555555554
101,KT,5,KIA,10,2022-04-26 18:30:00,수원,수원,19.9,15,9.381944444444445,5.618055555555555
102,한화,5,키움,2,2022-04-26 18:30:00,대전,대전,20.5,7,8.229166666666666,-1.229166666666666
103,두산,6,NC,5,2022-04-27 18:30:00,잠실,서울,18.0,11,8.916666666666666,2.083333333333334
104,롯데,1,SSG,1,2022-04-27 18:30:00,사직,부산,14.2,2,9.20138888888889,-7.201388888888889
105,삼성,0,LG,7,2022-04-27 18:30:00,대구,대구,15.4,7,9.569444444444445,-2.5694444444444446
106,KT,3,KIA,1,2022-04-27 18:30:00,수원,수원,15.0,4,9.381944444444445,-5.381944444444445
107,한화,0,키움,7,2022-04-27 18:30:00,대전,대전,18.6,7,8.229166666666666,-1.229166666666666
108,두산,5,NC,9,2022-04-28 18:30:00,잠실,서울,19.0,14,8.916666666666666,5.083333333333334
109,롯데,4,SSG,1,2022-04-28 18:30:00,사직,부산,15.2,5,9.20138888888889,-4.201388888888889
110,삼성,4,LG,6,2022-04-28 18:30:00,대구,대구,15.0,10,9.569444444444445,0.43055555555555536
111,KT,5,KIA,3,2022-04-28 18:30:00,수원,수원,15.1,8,9.381944444444445,-1.3819444444444446
112,한화,1,키움,3,2022-04-28 18:30:00,대전,대전,18.1,4,8.229166666666666,-4.229166666666666
113,LG,4,롯데,9,2022-04-29 18:30:00,잠실,서울,14.4,13,9.166666666666668,3.833333333333332
114,SSG,8,두산,7,2022-04-29 18:30:00,문학,인천,14.1,15,9.430555555555555,5.569444444444445
115,NC,9,한화,4,2022-04-29 18:30:00,창원,창원,11.4,13,8.402777777777777,4.597222222222223
116,KIA,3,삼성,4,2022-04-29 18:30:00,광주,광주,14.8,7,9.604166666666668,-2.604166666666668
117,키움,4,KT,6,2022-04-29 18:30:00,고척,서울,14.4,10,8.694444444444445,1.3055555555555554
118,KIA,4,삼성,5,2022-04-30 14:00:00,광주,광주,14.9,9,9.604166666666668,-0.6041666666666679
