,Home,Home_Score,Away,Away_Score,Datetime,Stadium
232,LG,5,삼성,0,2022-05-27 18:30:00,잠실
233,롯데,0,키움,8,2022-05-27 18:30:00,사직
234,NC,1,두산,6,2022-05-27 18:30:00,창원
235,KT,0,한화,4,2022-05-27 18:30:00,수원
236,KIA,1,SSG,8,2022-05-27 18:30:00,광주
237,롯데,3,키움,6,2022-05-28 14:00:00,사직
238,KIA,9,SSG,3,2022-05-28 14:00:00,광주
239,LG,9,삼성,4,2022-05-28 17:00:00,잠실
240,NC,5,두산,0,2022-05-28 17:00:00,창원
241,KT,8,한화,9,2022-05-28 17:00:00,수원
242,LG,4,삼성,8,2022-05-29 14:00:00,잠실
243,롯데,0,키움,4,2022-05-29 14:00:00,사직
244,NC,0,두산,1,2022-05-29 14:00:00,창원
245,KT,4,한화,12,2022-05-29 14:00:00,수원
246,KIA,7,SSG,9,2022-05-29 14:00:00,광주
247,두산,10,KIA,13,2022-05-31 18:30:00,잠실
248,SSG,1,KT,2,2022-05-31 18:30:00,문학
249,롯데,7,LG,5,2022-05-31 18:30:00,사직
250,키움,3,삼성,2,2022-05-31 18:30:00,고척
251,한화,5,NC,10,2022-05-31 18:30:00,대전
252,두산,3,KIA,7,2022-06-01 17:00:00,잠실
253,SSG,2,KT,1,2022-06-01 17:00:00,문학
254,롯데,5,LG,14,2022-06-01 17:00:00,사직
255,키움,2,삼성,4,2022-06-01 17:00:00,고척
256,한화,3,NC,0,2022-06-01 17:00:00,대전
257,두산,3,KIA,4,2022-06-02 18:30:00,잠실
258,SSG,1,KT,14,2022-06-02 18:30:00,문학
259,롯데,2,LG,2,2022-06-02 18:30:00,사직
260,키움,6,삼성,5,2022-06-02 18:30:00,고척
261,한화,3,NC,4,2022-06-02 18:30:00,대전
262,LG,7,SSG,1,2022-06-03 18:30:00,잠실
263,삼성,8,두산,5,2022-06-03 18:30:00,대구
264,NC,5,롯데,1,2022-06-03 18:30:00,창원
265,KT,5,KIA,2,2022-06-03 18:30:00,수원
266,한화,14,키움,2,2022-06-03 18:30:00,대전
267,LG,6,SSG,2,2022-06-04 17:00:00,잠실
268,삼성,8,두산,16,2022-06-04 17:00:00,대구
269,NC,2,롯데,3,2022-06-04 17:00:00,창원
270,KT,4,KIA,3,2022-06-04 17:00:00,수원
271,한화,3,키움,4,2022-06-04 17:00:00,대전
272,LG,0,SSG,2,2022-06-05 17:00:00,잠실
273,KT,2,KIA,2,2022-06-05 17:00:00,수원
274,두산,3,한화,1,2022-06-07 18:30:00,잠실
275,롯데,4,삼성,7,2022-06-07 18:30:00,사직
276,NC,6,SSG,2,2022-06-07 18:30:00,창원
277,키움,3,KT,0,2022-06-07 18:30:00,고척
278,두산,1,한화,5,2022-06-08 18:30:00,잠실
279,롯데,2,삼성,4,2022-06-08 18:30:00,사직
280,NC,2,SSG,2,2022-06-08 18:30:00,창원
281,KIA,7,LG,11,2022-06-08 18:30:00,광주
282,키움,5,KT,5,2022-06-08 18:30:00,고척
283,두산,16,한화,7,2022-06-09 18:30:00,잠실
284,롯데,7,삼성,6,2022-06-09 18:30:00,사직
285,NC,5,SSG,4,2022-06-09 18:30:00,창원
