,지점,지점명,일시,기온(°C)
250,108,서울,2022-06-23 18:00:00,24.2
251,108,서울,2022-06-23 20:00:00,23.6
252,108,서울,2022-06-24 15:00:00,22.5
253,108,서울,2022-06-24 18:00:00,24.8
254,108,서울,2022-06-24 20:00:00,24.2
255,108,서울,2022-06-25 15:00:00,30.2
256,108,서울,2022-06-25 18:00:00,29.0
257,108,서울,2022-06-25 20:00:00,27.4
258,108,서울,2022-06-26 15:00:00,28.1
259,108,서울,2022-06-26 18:00:00,27.6
260,108,서울,2022-06-26 20:00:00,27.3
261,108,서울,2022-06-27 15:00:00,26.6
262,108,서울,2022-06-27 18:00:00,26.4
263,108,서울,2022-06-27 20:00:00,27.1
264,108,서울,2022-06-28 15:00:00,26.3
265,108,서울,2022-06-28 18:00:00,27.0
266,108,서울,2022-06-28 20:00:00,27.2
267,108,서울,2022-06-29 15:00:00,25.8
268,108,서울,2022-06-29 18:00:00,26.0
269,108,서울,2022-06-29 20:00:00,25.3
270,108,서울,2022-06-30 15:00:00,22.5
271,108,서울,2022-06-30 18:00:00,21.2
272,108,서울,2022-06-30 20:00:00,21.3
273,108,서울,2022-07-01 15:00:00,30.6
274,108,서울,2022-07-01 18:00:00,30.0
275,108,서울,2022-07-01 20:00:00,28.0
276,108,서울,2022-07-02 15:00:00,33.4
277,108,서울,2022-07-02 18:00:00,33.1
278,108,서울,2022-07-02 20:00:00,30.2
279,108,서울,2022-07-03 15:00:00,33.7
280,108,서울,2022-07-03 18:00:00,32.9
281,108,서울,2022-07-03 20:00:00,30.2
282,108,서울,2022-07-04 15:00:00,30.9
283,108,서울,2022-07-04 18:00:00,31.4
284,108,서울,2022-07-04 20:00:00,29.9
285,108,서울,2022-07-05 15:00:00,32.4
286,108,서울,2022-07-05 18:00:00,30.8
287,108,서울,2022-07-05 20:00:00,29.4
288,108,서울,2022-07-06 15:00:00,32.6
289,108,서울,2022-07-06 18:00:00,32.9
290,108,서울,2022-07-06 20:00:00,31.8
291,108,서울,2022-07-07 15:00:00,29.7
292,108,서울,2022-07-07 18:00:00,29.6
293,108,서울,2022-07-07 20:00:00,28.7
294,108,서울,2022-07-08 15:00:00,27.0
295,108,서울,2022-07-08 18:00:00,27.8
296,108,서울,2022-07-08 20:00:00,26.4
297,108,서울,2022-07-09 15:00:00,30.7
298,108,서울,2022-07-09 18:00:00,30.3
299,108,서울,2022-07-09 20:00:00,28.4
300,108,서울,2022-07-10 15:00:00,34.4
301,108,서울,2022-07-10 18:00:00,32.1
302,108,서울,2022-07-10 20:00:00,30.1
303,108,서울,2022-07-11 15:00:00,29.8
304,108,서울,2022-07-11 18:00:00,27.8
305,108,서울,2022-07-11 20:00:00,27.3
306,108,서울,2022-07-12 15:00:00,29.4
307,108,서울,2022-07-12 18:00:00,29.1
308,108,서울,2022-07-12 20:00:00,28.2
309,108,서울,2022-07-13 15:00:00,24.1
310,108,서울,2022-07-13 18:00:00,24.4
311,108,서울,2022-07-13 20:00:00,24.4
312,108,서울,2022-07-14 15:00:00,29.4
313,108,서울,2022-07-14 18:00:00,28.5
314,108,서울,2022-07-14 20:00:00,26.1
315,108,서울,2022-07-15 15:00:00,29.8
316,108,서울,2022-07-15 18:00:00,28.3
317,108,서울,2022-07-15 20:00:00,26.5
318,108,서울,2022-07-16 15:00:00,26.9
319,108,서울,2022-07-16 18:00:00,24.0
320,108,서울,2022-07-16 20:00:00,24.3
321,108,서울,2022-07-17 15:00:00,29.4
322,108,서울,2022-07-17 18:00:00,28.5
323,108,서울,2022-07-17 20:00:00,26.5
324,108,서울,2022-07-18 15:00:00,29.7
325,108,서울,2022-07-18 18:00:00,29.1
326,108,서울,2022-07-18 20:00:00,27.9
327,108,서울,2022-07-19 15:00:00,30.7
328,108,서울,2022-07-19 18:00:00,29.1
329,108,서울,2022-07-19 20:00:00,27.2
330,108,서울,2022-07-20 15:00:00,30.2
331,108,서울,2022-07-20 18:00:00,28.5
332,108,서울,2022-07-20 20:00:00,27.3
333,108,서울,2022-07-21 15:00:00,24.1
